"Parasite.species","Parasite.group","minLCL","maxLCL","midLCL","Host.no","Facultative","Stage","Def.int","Flex.cycle","Length","Width","Biovolume","Host.nofac","complete_size"
"Khawia sinensis","cestode",2,2,2,1,"no","1larv","int","no",1.705,0.255,0.0853586431943615,"1st","complete"
"Khawia sinensis","cestode",2,2,2,2,"no","adult","def","no",60.1,2.33,369.648746469435,"2nd","complete"
"Labiostrongylus eugenii","nematode",1,1,1,0,NA,"free larva",NA,"no",0.6595,0.02798,0.000405508630276947,"propagule","complete"
"Labiostrongylus eugenii","nematode",1,1,1,1,"no","adult","def","no",27.5,0.9,17.4947440896782,"1st","complete"
"Lacistorhynchus dollfusi","cestode",3,3,3,0,NA,"free larva",NA,"no",NA,NA,NA,"propagule","incomplete"
"Lacistorhynchus dollfusi","cestode",3,3,3,1,"no","1larv","int","no",0.5325,0.1825,0.0170842262871474,"1st","incomplete"
"Lacistorhynchus dollfusi","cestode",3,3,3,2,"no","2larv","int","no",3.925,1.25,4.81669967396091,"2nd","incomplete"
"Lacistorhynchus dollfusi","cestode",3,3,3,3,"no","adult","def","no",50,1.2,60,"3rd","incomplete"
"Lacistorhynchus tenuis","cestode",3,3,3,0,NA,"free larva",NA,"no",0.038,0.031,0.000616799357654796,"propagule","complete"
"Lacistorhynchus tenuis","cestode",3,3,3,1,"no","1larv","int","no",0.3,0.09,0.0019085175370558,"1st","complete"
"Lacistorhynchus tenuis","cestode",3,3,3,2,"no","2larv","int","no",1.65,0.525,0.357184358497596,"2nd","complete"
"Lacistorhynchus tenuis","cestode",3,3,3,3,"no","adult","def","no",150,1.6,240,"3rd","complete"
"Lagochilascaris major","nematode",2,2,2,0,NA,"embryo",NA,"no",NA,NA,NA,"propagule","incomplete"
"Lagochilascaris major","nematode",2,2,2,1,"no","1larv","int","no",9.2,0.15,0.162577419823272,"1st","incomplete"
"Lagochilascaris major","nematode",2,2,2,2,"no","adult","def","no",21.7633333333333,0.573,5.84015696869256,"2nd","incomplete"
"Lagochilascaris minor","nematode",2,2,2,0,NA,"embryo",NA,"no",NA,NA,NA,"propagule","incomplete"
"Lagochilascaris minor","nematode",2,2,2,1,"no","1larv","int","no",7.6875,NA,NA,"1st","incomplete"
"Lagochilascaris minor","nematode",2,2,2,2,"no","adult","def","no",13.76,0.577,3.20838199448926,"2nd","incomplete"
"Lagochilascaris sprenti","nematode",2,2,2,0,NA,"embryo",NA,"no",0.43,0.012,4.863185427757e-05,"propagule","complete"
"Lagochilascaris sprenti","nematode",2,2,2,1,"no","1larv","int","no",3.7,0.11,0.0351622757753038,"1st","complete"
"Lagochilascaris sprenti","nematode",2,2,2,2,"no","adult","def","no",21.5,0.71,8.51226310462605,"2nd","complete"
"Lateriporus clerci","cestode",2,2,2,0,NA,"embryo",NA,"no",NA,NA,NA,"propagule","incomplete"
"Lateriporus clerci","cestode",2,2,2,1,"no","1larv","int","no",2.85,0.772333333333333,1.19428713522217,"1st","incomplete"
"Lateriporus clerci","cestode",2,2,2,2,"no","adult","def","no",90,2.3,207,"2nd","incomplete"
"Lateriporus mathevossianae","cestode",2,2,2,0,NA,"embryo",NA,"no",NA,NA,NA,"propagule","incomplete"
"Lateriporus mathevossianae","cestode",2,2,2,1,"no","1larv","int","no",2.579,1.545,4.83501906648721,"1st","incomplete"
"Lateriporus mathevossianae","cestode",2,2,2,2,"no","adult","def","no",12.5,1.0425,13.03125,"2nd","incomplete"
"Lateriporus skrjabini","cestode",2,2,2,0,NA,"embryo",NA,"no",0.022,NA,NA,"propagule","incomplete"
"Lateriporus skrjabini","cestode",2,2,2,1,"no","1larv","int","no",1.32,0.8025,0.610103576512445,"1st","incomplete"
"Lateriporus skrjabini","cestode",2,2,2,2,"no","adult","def","no",110,1.43,157.3,"2nd","incomplete"
"Lateriporus teres","cestode",2,2,2,0,NA,"embryo",NA,"no",0.056,NA,NA,"propagule","incomplete"
"Lateriporus teres","cestode",2,2,2,1,"no","1larv","int","no",1.39,0.77,0.645549381024735,"1st","incomplete"
"Lateriporus teres","cestode",2,2,2,2,"no","adult","def","no",262,2.5625,733.4375,"2nd","incomplete"
"Leidynema appendiculata","nematode",1,1,1,0,NA,"embryo",NA,"no",0.0663,0.0302,4.74916540646541e-05,"propagule","complete"
"Leidynema appendiculata","nematode",1,1,1,1,"no","adult","def","no",2.83166666666667,0.2688,0.169409219361153,"1st","complete"
"Leptorhynchoides acanthidion","acanthocephalan",2,2,2,0,NA,"embryo",NA,"no",NA,NA,NA,"propagule","incomplete"
"Leptorhynchoides acanthidion","acanthocephalan",2,2,2,1,"no","1larv","int","no",NA,NA,NA,"1st","incomplete"
